month,row_count,positive_rows,negative_rows,positive_rate,avg_abs_markout_bps,avg_usd_amount
2022-11,146,33,113,0.22602739726027396,7768.402019439337,9.393287671232889e-06
2022-12,3156,899,2257,0.28485424588086183,2761.100122989557,9.877167934093758e-05
2023-01,7354,2248,5106,0.30568398150666304,1996.4219663575243,0.00014803178406309575
2023-02,13100,4291,8809,0.32755725190839696,2489.6948911801132,0.00018627411755725142
2023-03,47818,17361,30457,0.36306411811451755,1606.7054169886314,0.00024407372579362884
2023-04,17152,5877,11275,0.34264225746268656,2594.5188473286225,0.00016056398320895437
2023-05,24118,9128,14990,0.37847251015838795,1933.807945950007,0.0003160123467949235
2023-06,31774,10872,20902,0.3421665512683326,1728.730355473054,0.0002306139969786618
2023-07,26494,8851,17643,0.33407563976749455,2214.994914931444,0.0002416698671397293
2023-08,45070,15051,30019,0.33394719325493677,2955.1626644890684,0.00018344806256933248
2023-09,23292,8333,14959,0.35776232182723683,2639.4594897728934,0.00016054836596256003
2023-10,48208,17556,30652,0.3641719216727514,2955.945349375837,0.00017242523896448376
2023-11,48424,17444,30980,0.3602345944159921,2096.4274331619863,0.00013449946225012267
2023-12,43130,15074,28056,0.34950150707164385,3058.499611420305,0.0001593071119870166
2024-01,136300,41490,94810,0.30440205429200295,2376.2871439289993,0.00041290884064563093
2024-02,136636,40785,95851,0.2984938083667555,2137.2837498846866,0.000307692407710999
2024-03,146830,43448,103382,0.2959068310290813,2133.2129458182085,0.00031892995995369224
2024-04,113156,35920,77236,0.31743787337834495,2280.1930250058786,0.00033776058856799327
2024-05,308432,87612,220820,0.28405612906572597,2366.375527362847,0.00020094082877263574
2024-06,713668,178949,534719,0.25074544466054244,2000.3779538174838,0.00014623339236171414
2024-07,1953152,539003,1414149,0.2759657210498722,1626.4062546761343,0.00017866690741939298
2024-08,3163980,862006,2301974,0.2724435679113016,1603.1686148978704,0.00012812033275179014
2024-09,3733308,984005,2749303,0.2635745563987756,1422.8989213098987,0.0001264110569232509
2024-10,14058230,3875344,10182886,0.27566372153535684,875.6898147126727,0.00016471755551875314
2024-11,15081290,4188473,10892817,0.2777264411731357,1014.8905353035965,0.00015701866590327307
2024-12,23104902,5691875,17413027,0.24634923792362332,936.2987643994162,6.783310239794564e-05
2025-01,14049862,3953695,10096167,0.2814045433328811,1008.8806026324404,7.462720456475292e-05
2025-02,9253914,2535728,6718186,0.27401681061656724,1341.6369983219663,7.293079351507786e-05
2025-03,9191078,2487684,6703394,0.2706629189742487,1346.1125354522967,8.343837690859095e-05
2025-04,8488358,2378765,6109593,0.2802385337658944,1392.8151951992813,9.864149900371921e-05
2025-05,10031634,3098925,6932709,0.30891527741143665,1578.3263435240174,0.00010706944286447491
2025-06,10310518,3605240,6705278,0.34966623403402236,1917.1847615549093,0.0001126524575972096
2025-07,12147114,4166689,7980425,0.34301884381755204,1966.1620678450972,8.821171564539566e-05
2025-08,12849780,4582752,8267028,0.35664050279460036,2096.193712241542,7.432716118410092e-05
2025-09,14200582,5156747,9043835,0.3631363137088325,2367.062412282457,9.108265238709373e-05
2025-10,31124438,11481617,19642821,0.3688939540048884,2645.0803175430865,8.236894651978193e-05
2025-11,46607754,17221385,29386369,0.36949613577174306,3054.3798996915775,6.995087095721158e-05
2025-12,73129362,30095573,43033789,0.41153884263341445,4050.31423228241,5.2638321478577435e-05
